Operator,Frequency
subscribe,13342
map,11712
of,4258
filter,3984
concat,2848
from,2118
take,1750
tap,1749
find,1637
switchMap,1287
merge,1158
reduce,1104
mergeMap,917
takeUntil,744
fromEvent,697
catchError,689
every,689
first,686
interval,677
delay,586
mapTo,585
min,584
timer,571
combineLatest,563
startWith,562
throwError,561
scan,541
max,528
distinctUntilChanged,478
defer,476
skip,446
last,432
toArray,431
withLatestFrom,361
debounceTime,295
pluck,285
share,283
empty,271
concatMap,261
publish,238
subscribeOn,234
findIndex,232
timestamp,218
bufferTime,206
range,195
isEmpty,174
count,164
mergeAll,153
bindCallback,143
multicast,142
takeWhile,134
observeOn,121
publishReplay,115
retryWhen,104
partition,102
timeout,97
forkJoin,95
ignoreElements,89
zip,88
groupBy,84
bufferCount,80
defaultIfEmpty,79
pairwise,76
exhaustMap,70
distinct,69
concatAll,67
retry,67
skipWhile,65
ajax,63
mergeMapTo,63
takeLast,60
materialize,59
throttleTime,58
race,57
switchMapTo,57
debounce,55
generate,49
expand,46
throttle,45
sample,44
buffer,43
elementAt,43
delayWhen,42
auditTime,38
fromEventPattern,37
publishBehavior,37
single,37
publishLast,34
bindNodeCallback,33
skipUntil,33
sampleTime,31
windowCount,31
dematerialize,29
bufferToggle,28
bufferWhen,28
audit,27
timeoutWith,26
mergeScan,25
distinctUntilKeyChanged,23
windowTime,23
windowToggle,23
concatMapTo,22
window,22
windowWhen,20
iif,19
exhaust,17
switchAll,17
timeInterval,16
skipLast,14
combineLatestAll,3
exhaustAll,3
switchScan,2
