Operator,Frequency
from,2311
map,811
subscribe,649
of,644
merge,263
mergeMap,189
find,185
filter,159
switchMap,116
take,107
catchError,101
tap,91
fromEvent,86
combineLatest,72
forkJoin,72
timer,66
concat,65
debounce,62
min,58
interval,54
share,53
throwError,53
window,52
single,51
debounceTime,45
distinct,40
count,39
empty,38
distinctUntilChanged,37
publish,35
zip,32
range,31
first,30
takeUntil,30
concatMap,29
timeout,29
retry,28
ajax,26
startWith,26
timestamp,26
delay,24
last,21
defer,20
generate,20
buffer,19
scan,19
mapTo,17
reduce,17
throttle,17
bindNodeCallback,16
pluck,15
takeWhile,15
toArray,15
publishReplay,14
retryWhen,12
withLatestFrom,12
max,11
sample,11
skip,11
audit,10
race,9
bindCallback,6
groupBy,6
every,5
isEmpty,5
auditTime,4
concatAll,4
fromEventPattern,4
observeOn,4
throttleTime,4
bufferCount,3
expand,3
ignoreElements,3
iif,3
mergeAll,3
partition,3
skipWhile,3
timeoutWith,3
bufferTime,2
defaultIfEmpty,2
mergeMapTo,2
publishLast,2
bufferToggle,1
exhaust,1
exhaustMap,1
findIndex,1
pairwise,1
publishBehavior,1
subscribeOn,1
switchAll,1
switchMapTo,1
takeLast,1
windowToggle,1
bufferWhen,0
combineLatestAll,0
concatMapTo,0
delayWhen,0
dematerialize,0
distinctUntilKeyChanged,0
elementAt,0
exhaustAll,0
materialize,0
mergeScan,0
multicast,0
sampleTime,0
skipLast,0
skipUntil,0
switchScan,0
timeInterval,0
windowCount,0
windowTime,0
windowWhen,0
