Operator,Frequency
from,15
flatMap,10
map,10
subscribe,6
combineLatest,3
concat,3
window,3
flatMapWithIndex,2
observeOn,2
using,2
catchError,1
create,1
empty,1
filter,1
generate,1
just,1
merge,1
subscribeOn,1
amb,0
buffer,0
catchErrorJustReturn,0
debounce,0
defer,0
delaySubscription,0
distinctUntilChanged,0
doOn,0
elementAt,0
failWith,0
flatMapFirst,0
flatMapLatest,0
interval,0
mapWithIndex,0
multicast,0
never,0
publish,0
range,0
reduce,0
refCount,0
repeatElement,0
replay,0
retry,0
retryWhen,0
sample,0
sampleLatest,0
scan,0
sequenceOf,0
shareReplay,0
single,0
skip,0
skipUntil,0
skipWhile,0
skipWhileWithIndex,0
startWith,0
switchLatest,0
take,0
takeLast,0
takeUntil,0
takeWhile,0
takeWhileWithIndex,0
throttle,0
timeout,0
timer,0
toArray,0
toObservable,0
withLatestFrom,0
zip,0
