Operator,Frequency
to,323
subscribe,200
map,95
all,82
create,72
flatMap,63
publish,53
just,39
error,35
count,31
subscribeOn,27
test,26
filter,25
observeOn,21
toList,18
cache,17
collect,16
scan,15
zip,13
first,11
compose,10
fromCallable,10
lift,10
retry,10
take,10
toObservable,10
doOnNext,9
range,9
empty,8
fromIterable,8
switchMap,8
timer,8
amb,7
buffer,7
cast,7
concat,7
defer,7
interval,7
retryWhen,7
toMap,7
any,6
groupBy,6
hide,6
join,6
merge,6
single,6
window,6
complete,5
doOnComplete,5
blockingGet,4
contains,4
delay,4
flatMapSingle,4
forEach,4
generate,4
reduce,4
replay,4
subscribeWith,4
takeUntil,4
timeout,4
toSingle,4
flatMapObservable,3
sample,3
share,3
startWith,3
using,3
zipWith,3
andThen,2
distinct,2
doAfterNext,2
doAfterTerminate,2
doFinally,2
doOnError,2
doOnRequest,2
doOnSubscribe,2
flatMapCompletable,2
fromAction,2
fromArray,2
fromPublisher,2
fromStream,2
ignoreElement,2
isEmpty,2
last,2
onErrorResumeNext,2
skip,2
takeWhile,2
timestamp,2
withLatestFrom,2
blockingFirst,1
collectInto,1
concatMap,1
concatWith,1
debounce,1
defaultIfEmpty,1
doOnCancel,1
doOnEach,1
doOnSuccess,1
doOnTerminate,1
flatMapIterable,1
flatMapMaybe,1
flattenAsObservable,1
fromFuture,1
ignoreElements,1
materialize,1
onBackpressureLatest,1
onErrorReturn,1
parallel,1
repeat,1
sorted,1
takeLast,1
ambArray,0
ambWith,0
blockingAwait,0
blockingForEach,0
blockingIterable,0
blockingLast,0
blockingLatest,0
blockingMostRecent,0
blockingNext,0
blockingSingle,0
blockingStream,0
blockingSubscribe,0
cacheWithInitialCapacity,0
combineLatest,0
combineLatestArray,0
combineLatestArrayDelayError,0
combineLatestDelayError,0
concatArray,0
concatArrayDelayError,0
concatArrayEager,0
concatArrayEagerDelayError,0
concatDelayError,0
concatEager,0
concatEagerDelayError,0
concatMapCompletable,0
concatMapCompletableDelayError,0
concatMapDelayError,0
concatMapEager,0
concatMapEagerDelayError,0
concatMapIterable,0
concatMapMaybe,0
concatMapMaybeDelayError,0
concatMapSingle,0
concatMapSingleDelayError,0
concatMapStream,0
delaySubscription,0
dematerialize,0
distinctUntilChanged,0
doAfterSuccess,0
doOnDispose,0
doOnEvent,0
doOnLifecycle,0
elementAt,0
elementAtOrError,0
firstElement,0
firstOrError,0
firstOrErrorStage,0
firstStage,0
flatMapPublisher,0
flatMapStream,0
flattenAsFlowable,0
flattenStreamAsFlowable,0
flattenStreamAsObservable,0
forEachWhile,0
fromCompletable,0
fromCompletionStage,0
fromMaybe,0
fromObservable,0
fromOptional,0
fromRunnable,0
fromSingle,0
fromSupplier,0
groupJoin,0
intervalRange,0
lastElement,0
lastOrError,0
lastOrErrorStage,0
lastStage,0
mapOptional,0
mergeArray,0
mergeArrayDelayError,0
mergeDelayError,0
mergeWith,0
never,0
ofType,0
onBackpressureBuffer,0
onBackpressureDrop,0
onErrorComplete,0
onErrorResumeWith,0
onErrorReturnItem,0
onTerminateDetach,0
rangeLong,0
rebatchRequests,0
reduceWith,0
repeatUntil,0
repeatWhen,0
retryUntil,0
safeSubscribe,0
scanWith,0
sequenceEqual,0
serialize,0
singleElement,0
singleOrError,0
singleOrErrorStage,0
singleStage,0
skipLast,0
skipUntil,0
skipWhile,0
startWithArray,0
startWithItem,0
startWithIterable,0
switchIfEmpty,0
switchMapCompletable,0
switchMapCompletableDelayError,0
switchMapDelayError,0
switchMapMaybe,0
switchMapMaybeDelayError,0
switchMapSingle,0
switchMapSingleDelayError,0
switchOnNext,0
switchOnNextDelayError,0
throttleFirst,0
throttleLast,0
throttleLatest,0
throttleWithTimeout,0
timeInterval,0
toCompletionStage,0
toFlowable,0
toFuture,0
toMaybe,0
toMultimap,0
toSingleDefault,0
toSortedList,0
unsafeCreate,0
unsubscribeOn,0
wrap,0
zipArray,0
