Operator,Frequency
subscribe,71
map,56
from,49
of,36
max,17
min,16
filter,13
buffer,9
scan,9
tap,9
distinct,7
interval,6
last,6
share,6
catchError,5
forkJoin,5
switchMap,5
bufferToggle,4
concat,4
count,4
fromEvent,4
isEmpty,4
merge,4
bufferTime,3
delay,3
distinctUntilChanged,3
first,3
race,3
startWith,3
timeInterval,3
timer,3
withLatestFrom,3
concatMap,2
debounce,2
publish,2
reduce,2
timeout,2
window,2
ajax,1
combineLatest,1
debounceTime,1
empty,1
every,1
find,1
fromEventPattern,1
mergeAll,1
mergeMap,1
pairwise,1
publishReplay,1
range,1
skip,1
take,1
audit,0
auditTime,0
bindCallback,0
bindNodeCallback,0
bufferCount,0
bufferWhen,0
combineLatestAll,0
concatAll,0
concatMapTo,0
defaultIfEmpty,0
defer,0
delayWhen,0
dematerialize,0
distinctUntilKeyChanged,0
elementAt,0
exhaust,0
exhaustAll,0
exhaustMap,0
expand,0
findIndex,0
generate,0
groupBy,0
ignoreElements,0
iif,0
mapTo,0
materialize,0
mergeMapTo,0
mergeScan,0
multicast,0
observeOn,0
partition,0
pluck,0
publishBehavior,0
publishLast,0
retry,0
retryWhen,0
sample,0
sampleTime,0
single,0
skipLast,0
skipUntil,0
skipWhile,0
subscribeOn,0
switchAll,0
switchMapTo,0
switchScan,0
takeLast,0
takeUntil,0
takeWhile,0
throttle,0
throttleTime,0
throwError,0
timeoutWith,0
timestamp,0
toArray,0
windowCount,0
windowTime,0
windowToggle,0
windowWhen,0
zip,0
