Operator,Frequency
subscribe,110
to,110
error,35
create,32
observeOn,27
subscribeOn,26
all,17
map,17
flatMap,13
last,11
hide,10
scan,10
test,10
buffer,7
count,7
doOnNext,7
take,7
debounce,6
empty,6
first,6
isEmpty,6
any,5
distinct,5
just,5
andThen,4
complete,4
concat,4
concatMap,4
doOnError,4
repeat,4
repeatWhen,4
combineLatest,3
compose,3
delay,3
doOnEvent,3
doOnSubscribe,3
filter,3
switchIfEmpty,3
takeUntil,3
withLatestFrom,3
amb,2
doOnComplete,2
fromCallable,2
interval,2
onErrorResumeNext,2
skip,2
startWith,2
subscribeWith,2
toObservable,2
wrap,2
concatMapCompletable,1
contains,1
defer,1
distinctUntilChanged,1
doAfterNext,1
doFinally,1
doOnDispose,1
doOnSuccess,1
doOnTerminate,1
flatMapCompletable,1
flatMapObservable,1
flatMapSingle,1
forEach,1
fromArray,1
fromIterable,1
groupBy,1
onBackpressureLatest,1
reduce,1
retry,1
share,1
single,1
switchMap,1
switchMapSingle,1
throttleLast,1
toFlowable,1
toList,1
zip,1
zipWith,1
ambArray,0
ambWith,0
blockingAwait,0
blockingFirst,0
blockingForEach,0
blockingGet,0
blockingIterable,0
blockingLast,0
blockingLatest,0
blockingMostRecent,0
blockingNext,0
blockingSingle,0
blockingStream,0
blockingSubscribe,0
cache,0
cacheWithInitialCapacity,0
cast,0
collect,0
collectInto,0
combineLatestArray,0
combineLatestArrayDelayError,0
combineLatestDelayError,0
concatArray,0
concatArrayDelayError,0
concatArrayEager,0
concatArrayEagerDelayError,0
concatDelayError,0
concatEager,0
concatEagerDelayError,0
concatMapCompletableDelayError,0
concatMapDelayError,0
concatMapEager,0
concatMapEagerDelayError,0
concatMapIterable,0
concatMapMaybe,0
concatMapMaybeDelayError,0
concatMapSingle,0
concatMapSingleDelayError,0
concatMapStream,0
concatWith,0
defaultIfEmpty,0
delaySubscription,0
dematerialize,0
doAfterSuccess,0
doAfterTerminate,0
doOnCancel,0
doOnEach,0
doOnLifecycle,0
doOnRequest,0
elementAt,0
elementAtOrError,0
firstElement,0
firstOrError,0
firstOrErrorStage,0
firstStage,0
flatMapIterable,0
flatMapMaybe,0
flatMapPublisher,0
flatMapStream,0
flattenAsFlowable,0
flattenAsObservable,0
flattenStreamAsFlowable,0
flattenStreamAsObservable,0
forEachWhile,0
fromAction,0
fromCompletable,0
fromCompletionStage,0
fromFuture,0
fromMaybe,0
fromObservable,0
fromOptional,0
fromPublisher,0
fromRunnable,0
fromSingle,0
fromStream,0
fromSupplier,0
generate,0
groupJoin,0
ignoreElement,0
ignoreElements,0
intervalRange,0
join,0
lastElement,0
lastOrError,0
lastOrErrorStage,0
lastStage,0
lift,0
mapOptional,0
materialize,0
merge,0
mergeArray,0
mergeArrayDelayError,0
mergeDelayError,0
mergeWith,0
never,0
ofType,0
onBackpressureBuffer,0
onBackpressureDrop,0
onErrorComplete,0
onErrorResumeWith,0
onErrorReturn,0
onErrorReturnItem,0
onTerminateDetach,0
parallel,0
publish,0
range,0
rangeLong,0
rebatchRequests,0
reduceWith,0
repeatUntil,0
replay,0
retryUntil,0
retryWhen,0
safeSubscribe,0
sample,0
scanWith,0
sequenceEqual,0
serialize,0
singleElement,0
singleOrError,0
singleOrErrorStage,0
singleStage,0
skipLast,0
skipUntil,0
skipWhile,0
sorted,0
startWithArray,0
startWithItem,0
startWithIterable,0
switchMapCompletable,0
switchMapCompletableDelayError,0
switchMapDelayError,0
switchMapMaybe,0
switchMapMaybeDelayError,0
switchMapSingleDelayError,0
switchOnNext,0
switchOnNextDelayError,0
takeLast,0
takeWhile,0
throttleFirst,0
throttleLatest,0
throttleWithTimeout,0
timeInterval,0
timeout,0
timer,0
timestamp,0
toCompletionStage,0
toFuture,0
toMap,0
toMaybe,0
toMultimap,0
toSingle,0
toSingleDefault,0
toSortedList,0
unsafeCreate,0
unsubscribeOn,0
using,0
window,0
zipArray,0
