Operator,Frequency
map,833
subscribe,733
create,295
filter,291
flatMap,290
just,167
from,139
flatMapLatest,132
combineLatest,114
observeOn,95
withLatestFrom,83
empty,77
window,72
distinctUntilChanged,71
scan,62
merge,60
startWith,55
retry,46
take,43
throttle,40
debounce,36
range,35
catchError,30
timer,30
buffer,26
shareReplay,25
single,25
concat,23
interval,23
never,23
skip,20
publish,19
zip,19
replay,18
takeUntil,18
defer,16
toArray,16
catchErrorJustReturn,15
reduce,15
using,15
toObservable,11
doOn,10
subscribeOn,10
flatMapFirst,6
generate,6
retryWhen,6
timeout,5
sample,4
amb,3
skipUntil,3
takeWhile,3
sequenceOf,2
delaySubscription,1
elementAt,1
takeLast,1
failWith,0
flatMapWithIndex,0
mapWithIndex,0
multicast,0
refCount,0
repeatElement,0
sampleLatest,0
skipWhile,0
skipWhileWithIndex,0
switchLatest,0
takeWhileWithIndex,0
